Senaryo;SpinNo;Bahis;BakiyeOnce;BakiyeSonra;Odenen;Cluster;Tumble;CarpanDeger;CarpanKaynak;Bonus;BonusOdenen;ArdKayipOnce;Kacis;Kategori;SpinTipi;SureMs;ClusterDetay
"0. Normal Oyun";626;100;99300;100500;1300;2;2;8;DOGAL;False;0;0;False;MegaWin;Normal;0;"S1x9=30TL | S1x18=100TL"
"0. Normal Oyun";627;100;100500;103240;2840;0;0;0;-;True;2840;0;False;EpicWin;Bonus;0;"-"
"0. Normal Oyun";628;100;103240;103260;120;3;3;0;-;False;0;0;False;Normal;Normal;0;"S2x8=40TL | S0x8=20TL | S0x11=60TL"
"0. Normal Oyun";629;100;103260;103160;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";630;100;103160;103060;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";631;100;103060;102960;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";632;100;102960;102880;20;1;1;0;-;False;0;0;False;Normal;Normal;0;"S0x8=20TL"
"0. Normal Oyun";633;100;102880;102780;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";634;100;102780;102710;30;1;1;0;-;False;0;0;False;Normal;Normal;0;"S1x8=30TL"
"0. Normal Oyun";635;100;102710;102670;60;1;1;0;-;False;0;0;False;Normal;Normal;0;"S1x11=60TL"
"0. Normal Oyun";636;100;102670;102620;50;2;2;0;-;False;0;0;False;Normal;Normal;0;"S1x9=30TL | S0x8=20TL"
"0. Normal Oyun";637;100;102620;102520;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";638;100;102520;102420;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";639;100;102420;102320;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";640;100;102320;102220;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";641;100;102220;102190;70;2;2;0;-;False;0;0;False;Normal;Normal;0;"S1x8=30TL | S1x9=40TL"
"0. Normal Oyun";642;100;102190;102120;30;1;1;0;-;False;0;0;False;Normal;Normal;0;"S1x9=30TL"
"0. Normal Oyun";643;100;102120;102320;300;2;2;0;-;True;220;0;False;BigWin;Bonus;0;"S1x10=60TL | S0x8=20TL"
"0. Normal Oyun";644;100;102320;102500;280;4;4;0;-;False;0;0;False;BigWin;Normal;0;"S4x16=100TL | S2x9=100TL | S1x9=30TL | S4x8=50TL"
"0. Normal Oyun";645;100;102500;102400;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";646;100;102400;102300;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";647;100;102300;103200;1000;1;1;2;DOGAL;False;0;0;False;MegaWin;Normal;1;"S3x8=50TL"
"0. Normal Oyun";648;100;103200;103100;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";649;100;103100;103000;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";650;100;103000;102900;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";651;100;102900;103260;460;1;1;10;DOGAL;False;0;0;False;BigWin;Normal;0;"S0x8=20TL"
"0. Normal Oyun";652;100;103260;103160;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";653;100;103160;103060;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";654;100;103060;102980;20;1;1;0;-;False;0;0;False;Normal;Normal;0;"S0x8=20TL"
"0. Normal Oyun";655;100;102980;103050;170;4;4;0;-;False;0;0;False;Normal;Normal;0;"S3x9=50TL | S3x8=20TL | S2x9=40TL | S3x9=60TL"
"0. Normal Oyun";656;100;103050;102950;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";657;100;102950;102850;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";658;100;102850;102750;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";659;100;102750;102650;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";660;100;102650;102550;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";661;100;102550;102450;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";662;100;102450;102350;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";663;100;102350;102250;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";664;100;102250;102150;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";665;100;102150;102050;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";666;100;102050;101950;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";667;100;101950;101850;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";668;100;101850;101770;20;1;1;0;-;False;0;0;False;Normal;Normal;0;"S0x8=20TL"
"0. Normal Oyun";669;100;101770;101670;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";670;100;101670;101770;200;0;0;0;-;True;200;0;False;BigWin;Bonus;0;"-"
"0. Normal Oyun";671;100;101770;101670;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";672;100;101670;101570;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";673;100;101570;101470;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";674;100;101470;101370;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";675;100;101370;101290;20;1;1;0;-;False;0;0;False;Normal;Normal;0;"S0x8=20TL"
"0. Normal Oyun";676;100;101290;101370;180;1;1;3;DOGAL;False;0;0;False;Normal;Normal;0;"S1x8=30TL"
